Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,443653,-,-,-,35.09,-106.66,-7,1512,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.1.dev11+g50a59bd
Year,Month,Day,Hour,Minute,Temperature,Dew Point,Clearsky GHI,Cloud Type,Wind Speed,Pressure
2002,1,1,0,30,0.30000000000000004,-2.3000000000000003,0,7,1.1,845
2002,1,1,1,30,-0.1,-2.5,0,8,1.1,846
2002,1,1,2,30,-0.30000000000000004,-2.8000000000000003,0,7,1.1,846
2002,1,1,3,30,-0.30000000000000004,-3,0,7,1,846
2002,1,1,4,30,-0.30000000000000004,-3.2,0,7,0.9,846
2002,1,1,5,30,-0.4,-3.4000000000000004,0,8,0.9,847
2002,1,1,6,30,-0.6000000000000001,-3.6,0,1,0.8,847
2002,1,1,7,30,0.30000000000000004,-3.9000000000000004,25,1,0.9,848
2002,1,1,8,30,2.2,-3.7,187,0,0.9,848
2002,1,1,9,30,4,-3.5,360,0,0.6000000000000001,848
2002,1,1,10,30,5.4,-3.4000000000000004,493,1,0.5,848
2002,1,1,11,30,6.4,-3.7,570,4,0.9,847
2002,1,1,12,30,7,-4.1000000000000005,581,4,1.5,846
2002,1,1,13,30,7.1000000000000005,-4.5,528,4,1.9000000000000001,846
2002,1,1,14,30,6.7,-5,414,4,2.1,846
2002,1,1,15,30,4.9,-5.300000000000001,253,4,1.5,846
2002,1,1,16,30,2.4000000000000004,-4.9,76,4,1.1,847
2002,1,1,17,30,0.9,-5.9,0,4,1.2000000000000002,848
2002,1,1,18,30,0.1,-6.1000000000000005,0,4,1.2000000000000002,848
2002,1,1,19,30,-0.8,-6.2,0,4,1.2000000000000002,849
2002,1,1,20,30,-1.5,-6.1000000000000005,0,4,1.2000000000000002,849
2002,1,1,21,30,-2,-5.9,0,4,1.2000000000000002,849
2002,1,1,22,30,-2.3000000000000003,-5.7,0,4,1.1,849
2002,1,1,23,30,-2.3000000000000003,-5.6000000000000005,0,4,1,849
2002,1,2,0,30,-2.2,-5.5,0,4,0.9,850
2002,1,2,1,30,-2.1,-5.6000000000000005,0,0,0.8,850
2002,1,2,2,30,-2.2,-5.7,0,0,0.9,850
2002,1,2,3,30,-2.4000000000000004,-5.9,0,4,1,850
2002,1,2,4,30,-2.5,-6.1000000000000005,0,4,1,850
2002,1,2,5,30,-2.6,-6.300000000000001,0,4,1,851
2002,1,2,6,30,-2.6,-6.5,0,1,1,851
2002,1,2,7,30,-1.5,-6.7,26,1,1.4000000000000001,852
2002,1,2,8,30,0.6000000000000001,-6.7,195,0,1.6,852
2002,1,2,9,30,2.5,-6.6000000000000005,370,8,1.1,852
2002,1,2,10,30,3.9000000000000004,-7.1000000000000005,504,4,0.8,852
2002,1,2,11,30,5,-7.5,580,4,1.2000000000000002,851
2002,1,2,12,30,5.6000000000000005,-7.9,593,7,1.6,850
2002,1,2,13,30,5.7,-8.3,540,4,1.5,850
2002,1,2,14,30,5.300000000000001,-8.8,427,1,1.3,850
2002,1,2,15,30,3.4000000000000004,-8.8,266,8,1,850
2002,1,2,16,30,0.7000000000000001,-8.3,84,7,0.9,850
2002,1,2,17,30,-1,-9.600000000000001,0,7,1.1,850
2002,1,2,18,30,-1.8,-9.600000000000001,0,7,1.1,851
2002,1,2,19,30,-2.3000000000000003,-9.600000000000001,0,7,1,851
2002,1,2,20,30,-2.6,-9.700000000000001,0,7,0.9,851
2002,1,2,21,30,-2.8000000000000003,-9.700000000000001,0,7,0.9,851
2002,1,2,22,30,-2.9000000000000004,-9.700000000000001,0,7,0.8,850
2002,1,2,23,30,-3,-9.8,0,7,0.7000000000000001,850
2002,1,3,0,30,-3.2,-9.8,0,1,0.7000000000000001,850
2002,1,3,1,30,-3.3000000000000003,-9.9,0,1,0.7000000000000001,850
2002,1,3,2,30,-3.4000000000000004,-9.9,0,0,0.7000000000000001,850
2002,1,3,3,30,-3.3000000000000003,-9.8,0,0,0.6000000000000001,849
2002,1,3,4,30,-3.2,-9.9,0,0,0.6000000000000001,849
2002,1,3,5,30,-3.2,-10,0,0,0.7000000000000001,850
2002,1,3,6,30,-2.9000000000000004,-10.200000000000001,0,1,0.7000000000000001,850
2002,1,3,7,30,-1.3,-10.4,27,1,0.7000000000000001,850
2002,1,3,8,30,1.5,-10.200000000000001,194,0,0.8,850
2002,1,3,9,30,4.3,-10.600000000000001,364,4,1.1,850
2002,1,3,10,30,6.6000000000000005,-10.700000000000001,495,4,1.4000000000000001,849
2002,1,3,11,30,8.6,-10,571,7,1.8,848
2002,1,3,12,30,9.8,-9.3,586,7,2,847
2002,1,3,13,30,10.100000000000001,-8.8,534,8,1.9000000000000001,847
2002,1,3,14,30,9,-7.800000000000001,425,8,1.3,847
2002,1,3,15,30,6.5,-5.300000000000001,265,1,0.8,847
2002,1,3,16,30,4.1000000000000005,-7.6000000000000005,84,7,0.8,847
2002,1,3,17,30,2.8000000000000003,-8.700000000000001,0,4,0.9,847
2002,1,3,18,30,2.4000000000000004,-8.3,0,4,0.9,847
2002,1,3,19,30,2.1,-8.1,0,7,0.8,847
2002,1,3,20,30,2,-8,0,4,0.6000000000000001,847
2002,1,3,21,30,1.9000000000000001,-7.9,0,8,0.5,847
2002,1,3,22,30,1.8,-7.800000000000001,0,4,0.4,847
2002,1,3,23,30,1.5,-7.7,0,7,0.6000000000000001,847
2002,1,4,0,30,1.2000000000000002,-7.6000000000000005,0,6,0.8,847
2002,1,4,1,30,1.1,-7.6000000000000005,0,6,0.8,846
2002,1,4,2,30,1.1,-7.9,0,7,0.7000000000000001,846
2002,1,4,3,30,1,-7.9,0,7,0.7000000000000001,845
2002,1,4,4,30,0.9,-7.7,0,7,0.8,845
2002,1,4,5,30,0.7000000000000001,-7.4,0,7,0.9,845
2002,1,4,6,30,0.7000000000000001,-7.2,0,7,0.9,845
