Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,443653,-,-,-,35.09,-106.66,-7,1512,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Dew Point,Clearsky GHI,Cloud Type,Wind Speed,Pressure
2005,1,1,0,30,3.5,1.4000000000000001,0,6,1.1,844
2005,1,1,1,30,3.8000000000000003,1.2000000000000002,0,6,0.9,844
2005,1,1,2,30,4,0.9,0,6,0.7000000000000001,844
2005,1,1,3,30,3.9000000000000004,0.8,0,7,0.5,844
2005,1,1,4,30,3.6,0.6000000000000001,0,7,0.30000000000000004,844
2005,1,1,5,30,3,0.5,0,4,0.30000000000000004,845
2005,1,1,6,30,2.7,0.4,0,1,0.4,845
2005,1,1,7,30,3.5,0.4,27,1,0.5,846
2005,1,1,8,30,5.9,0.5,195,0,1,847
2005,1,1,9,30,8.4,-0.4,369,0,1.8,847
2005,1,1,10,30,10.4,-2.5,500,0,2.4000000000000004,847
2005,1,1,11,30,11.8,-4.2,576,0,2.7,846
2005,1,1,12,30,12.700000000000001,-5.4,587,0,3,846
2005,1,1,13,30,13.3,-6.5,534,0,2.9000000000000004,845
2005,1,1,14,30,13.3,-7.2,421,0,2.2,845
2005,1,1,15,30,11.700000000000001,-5.300000000000001,261,0,1.2000000000000002,846
2005,1,1,16,30,10,-5.1000000000000005,81,7,0.5,846
2005,1,1,17,30,9,-7.2,0,7,0.4,846
2005,1,1,18,30,8.1,-7.4,0,7,0.6000000000000001,846
2005,1,1,19,30,6.800000000000001,-7.4,0,7,0.6000000000000001,847
2005,1,1,20,30,5.5,-7.300000000000001,0,7,0.8,847
2005,1,1,21,30,4.7,-7,0,7,0.9,847
2005,1,1,22,30,4.1000000000000005,-6.5,0,7,0.9,847
2005,1,1,23,30,3.5,-6.1000000000000005,0,7,0.9,848
2005,1,2,0,30,3.1,-5.9,0,6,0.8,848
2005,1,2,1,30,2.9000000000000004,-5.800000000000001,0,6,0.6000000000000001,848
2005,1,2,2,30,3,-5.800000000000001,0,7,0.4,848
2005,1,2,3,30,3.1,-5.800000000000001,0,7,0.5,848
2005,1,2,4,30,3,-5.6000000000000005,0,7,0.7000000000000001,848
