Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,970251,-,-,-,33.73,-84.38,-5,307,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Dew Point,Clearsky GHI,Cloud Type,Wind Speed,Pressure
2013,1,1,0,30,4.9,3.7,0,7,0.7000000000000001,983
2013,1,1,1,30,4.7,3.8000000000000003,0,4,0.7000000000000001,983
2013,1,1,2,30,4.6000000000000005,4,0,7,0.7000000000000001,983
2013,1,1,3,30,4.800000000000001,4.3,0,7,0.7000000000000001,982
2013,1,1,4,30,5.2,4.800000000000001,0,7,0.7000000000000001,982
2013,1,1,5,30,5.7,5.4,0,7,0.6000000000000001,982
2013,1,1,6,30,6,6,0,7,0.5,982
2013,1,1,7,30,6.800000000000001,6.5,0,4,0.5,982
2013,1,1,8,30,8.1,7.4,89,7,0.7000000000000001,982
2013,1,1,9,30,9.200000000000001,8.5,249,7,1,982
2013,1,1,10,30,10,9.3,395,7,1.1,981
2013,1,1,11,30,10.8,10,498,7,1.1,980
2013,1,1,12,30,11.700000000000001,10.8,544,4,1.1,979
2013,1,1,13,30,12.5,11.600000000000001,527,7,0.9,978
2013,1,1,14,30,12.9,12.3,448,4,0.5,978
2013,1,1,15,30,12.600000000000001,12.600000000000001,321,4,0.30000000000000004,978
2013,1,1,16,30,11.600000000000001,11.600000000000001,159,4,0.4,978
2013,1,1,17,30,10.8,10.8,16,8,0.4,978
2013,1,1,18,30,10.4,10.4,0,4,0.4,979
2013,1,1,19,30,10.100000000000001,10.100000000000001,0,8,0.6000000000000001,979
2013,1,1,20,30,9.8,9.8,0,4,1,978
2013,1,1,21,30,9.600000000000001,9.600000000000001,0,4,1.2000000000000002,978
2013,1,1,22,30,9.1,9.1,0,4,1.2000000000000002,978
2013,1,1,23,30,8.6,8.6,0,4,1.1,979
2013,1,2,0,30,8.1,8.1,0,4,0.9,979
2013,1,2,1,30,7.6000000000000005,7.6000000000000005,0,8,0.8,979
2013,1,2,2,30,7.2,7.2,0,4,1.1,979
2013,1,2,3,30,6.7,6.7,0,4,1.3,979
2013,1,2,4,30,6.1000000000000005,6.1000000000000005,0,4,1.5,980
2013,1,2,5,30,5.5,5.5,0,3,1.7000000000000002,980
2013,1,2,6,30,4.9,4.9,0,4,1.7000000000000002,981
2013,1,2,7,30,4.6000000000000005,4.5,0,4,1.8,982
2013,1,2,8,30,5.1000000000000005,4.2,104,4,1.9000000000000001,982
2013,1,2,9,30,6.5,4.3,284,4,1.9000000000000001,983
2013,1,2,10,30,8.4,4.4,440,4,1.8,983
