Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,734372,-,-,-,29.77,-95.38,-6,20,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Dew Point,Clearsky GHI,Cloud Type,Wind Speed,Pressure
2000,1,1,0,30,11.5,7.7,0,0,0.7000000000000001,1015
2000,1,1,1,30,10.600000000000001,8.1,0,0,0.9,1015
2000,1,1,2,30,9.8,8.6,0,0,1,1015
2000,1,1,3,30,9.200000000000001,9,0,0,1.1,1015
2000,1,1,4,30,8.8,8.8,0,0,1.1,1015
2000,1,1,5,30,8.5,8.5,0,0,1.1,1015
2000,1,1,6,30,8.4,8.4,0,0,1.1,1016
2000,1,1,7,30,10.4,10.4,23,0,1.4000000000000001,1016
2000,1,1,8,30,13.8,11.3,194,0,1.9000000000000001,1016
2000,1,1,9,30,17.2,12.200000000000001,373,0,2.4000000000000004,1016
2000,1,1,10,30,20.400000000000002,12.700000000000001,515,2,3,1016
2000,1,1,11,30,22.400000000000002,14,602,1,3.5,1015
2000,1,1,12,30,23.6,15.4,628,2,3.8000000000000003,1014
2000,1,1,13,30,24,16.3,587,1,4.1000000000000005,1013
2000,1,1,14,30,23.8,16.7,487,0,4.2,1013
2000,1,1,15,30,22.6,17.1,336,0,4.1000000000000005,1012
2000,1,1,16,30,20.700000000000003,17.5,154,0,3.5,1013
2000,1,1,17,30,19,17.8,0,1,3.2,1013
2000,1,1,18,30,18.3,18,0,0,3.2,1013
2000,1,1,19,30,18.2,18.2,0,1,3.3000000000000003,1014
2000,1,1,20,30,18.2,18.2,0,1,3.4000000000000004,1014
2000,1,1,21,30,18.3,18.3,0,0,3.4000000000000004,1013
2000,1,1,22,30,18.2,18.2,0,0,3.4000000000000004,1013
2000,1,1,23,30,18.2,18.2,0,3,3.4000000000000004,1013
