Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,734372,-,-,-,29.77,-95.38,-6,20,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.1.dev11+g50a59bd
Year,Month,Day,Hour,Minute,Temperature,Dew Point,Clearsky GHI,Cloud Type,Wind Speed,Pressure
2002,1,1,0,30,4.2,1.8,0,4,2.6,1021
2002,1,1,1,30,4.1000000000000005,1.5,0,7,2.6,1021
2002,1,1,2,30,4,1.4000000000000001,0,7,2.6,1021
2002,1,1,3,30,3.9000000000000004,1.4000000000000001,0,4,2.6,1021
2002,1,1,4,30,3.7,1.3,0,7,2.6,1022
2002,1,1,5,30,3.5,1.2000000000000002,0,1,2.7,1022
2002,1,1,6,30,3.2,0.9,0,1,2.8000000000000003,1022
2002,1,1,7,30,3.3000000000000003,0.6000000000000001,20,7,3.1,1023
2002,1,1,8,30,4,0.1,181,7,3.7,1024
2002,1,1,9,30,5,-1.1,360,7,4,1024
2002,1,1,10,30,6,-2.1,505,7,4.1000000000000005,1023
2002,1,1,11,30,6.7,-2.5,597,7,3.8000000000000003,1022
2002,1,1,12,30,7.2,-2.3000000000000003,625,4,3.3000000000000003,1021
2002,1,1,13,30,7.300000000000001,-1.9000000000000001,588,4,2.9000000000000004,1021
2002,1,1,14,30,7.1000000000000005,-1.1,487,4,2.7,1021
2002,1,1,15,30,6.6000000000000005,-0.5,335,4,2.5,1021
2002,1,1,16,30,5.5,0.5,154,6,1.9000000000000001,1022
2002,1,1,17,30,4.3,1.8,0,8,1.4000000000000001,1022
2002,1,1,18,30,3.6,1.5,0,4,1.5,1023
2002,1,1,19,30,3.1,1.1,0,4,1.6,1023
2002,1,1,20,30,2.5,0.6000000000000001,0,4,1.9000000000000001,1023
2002,1,1,21,30,1.9000000000000001,0.2,0,4,2.2,1023
2002,1,1,22,30,1.5,0,0,4,2.6,1023
2002,1,1,23,30,1.1,-0.2,0,0,2.7,1023
2002,1,2,0,30,0.5,-0.4,0,0,2.6,1024
2002,1,2,1,30,0.1,-0.7000000000000001,0,4,2.5,1024
2002,1,2,2,30,-0.30000000000000004,-1,0,4,2.5,1024
2002,1,2,3,30,-0.6000000000000001,-1.3,0,4,2.4000000000000004,1024
2002,1,2,4,30,-0.8,-1.6,0,0,2.3000000000000003,1024
2002,1,2,5,30,-1.2000000000000002,-1.8,0,0,2.1,1025
2002,1,2,6,30,-1.3,-2.2,0,0,2.1,1025
